area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,Ready To Move,thanisandra,2 BHK,Bhmesy,1093,2,2,70,Yelahanka Zone
Built-up  Area,Ready To Move,basaveshwara nagar,3 BHK,Suncy R,1865,3,3,145,West Zone
Plot  Area,Ready To Move,r.t. nagar,6 Bedroom,,1200,7,3,165,Yelahanka Zone
Super built-up  Area,Ready To Move,kaikondrahalli,2 BHK,Srsica,1039,2,2,80,Mahadevapura Zone
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1246,2,1,64.5,Bommanahalli Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,Suent V,1985,3,2,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,hosakerehalli,3 BHK,APncyla,1590,3,3,49,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,hunasamaranahalli,4 Bedroom,EmardBo,4000,4,2,675,Yelahanka Zone
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Assha A,775,2,2,38,Bommanahalli Zone
Super built-up  Area,Ready To Move,rwf west colony,2 BHK,PancyRe,1000,2,1,50,Yelahanka Zone
Super built-up  Area,Ready To Move,hebbal kempapura,3 BHK,Goateds,1800,3,2,175,Yelahanka Zone
Super built-up  Area,18-Jun,bommasandra,2 BHK,SSestth,1035,2,1,41,Outside BBMP Zones
Super built-up  Area,Ready To Move,dasarahalli,3 BHK,Syonyph,1520,2,1,75,Dasarahalli Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,BrlisCo,1360,2,1,95,Mahadevapura Zone
Plot  Area,Ready To Move,bileshivale,4 Bedroom,FeowsMe,6000,5,3,400,Yelahanka Zone
Super built-up  Area,Ready To Move,kodigehaali,2 BHK,Shyas S,1117,2,2,56,Yelahanka Zone
Plot  Area,Ready To Move,kr puram,4 Bedroom,Esnamin,1200,4,3,120,Mahadevapura Zone
Super built-up  Area,Ready To Move,epip zone,2 BHK,BrontLa,1330,2,1,92.5,Mahadevapura Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Prionad,1937,3,2,160,Mahadevapura Zone
Super built-up  Area,18-Aug,electronic city,2 BHK,Prarkun,1128,2,1,65.49,Bommanahalli Zone
Super built-up  Area,Ready To Move,neeladri nagar,2 BHK,NatisAt,1053,2,1,45,Bommanahalli Zone
Super built-up  Area,18-May,panathur,2 BHK,Prcesvy,1198,2,1,77,Mahadevapura Zone
Super built-up  Area,18-Apr,marathahalli,2 BHK,Spows M,1152,2,1,56,Mahadevapura Zone
Super built-up  Area,17-Dec,1st block jayanagar,6 BHK,,1200,6,2,125,Unknown
Super built-up  Area,Ready To Move,frazer town,2 BHK,Maentr,1625,2,1,75,East Zone
Super built-up  Area,Ready To Move,kundalahalli,3 BHK,Dieldli,1397,3,3,105,Mahadevapura Zone
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,Saade E,1523,3,3,170,Dasarahalli Zone
Super built-up  Area,Ready To Move,kambipura,2 BHK,Prrtht,883,2,1,45,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,kaggalipura,1 BHK,Baowsig,700,1,0,38,Outside BBMP Zones
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Neite T,1170,2,1,62.5,Yelahanka Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,Shiew T,1200,2,2,42,South Zone
Built-up  Area,Ready To Move,manayata tech park,3 BHK,,2400,3,2,170,Yelahanka Zone
Super built-up  Area,Ready To Move,kullappa colony,2 BHK,,1480,2,2,65,East Zone
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,DLhtsnd,1897,3,2,120,Bommanahalli Zone
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,,996,2,1,67,Yelahanka Zone
Super built-up  Area,18-May,haralur road,3 BHK,SNnia E,1875,3,2,110,Bommanahalli Zone
Super built-up  Area,Ready To Move,williams town,3 BHK,,1500,2,2,98,East Zone
Super built-up  Area,Ready To Move,jaya nagar east,3 BHK,Maens G,3095,3,3,350,South Zone
Super built-up  Area,Ready To Move,ambalipura,3 BHK,SJarkte,1390,2,1,175,Mahadevapura Zone
Super built-up  Area,20-Dec,yelahanka,3 BHK,Un 46th,1445 - 1455,3,0,65.255,Yelahanka Zone
Super built-up  Area,17-Nov,yelahanka,1 BHK,Prensya,697,1,0,45,Yelahanka Zone
Built-up  Area,Ready To Move,sarjapur road,1 BHK,Shthi S,710,1,1,27,Bommanahalli Zone
Carpet  Area,Ready To Move,iggalur,2 BHK,VaoldMa,910,2,1,30.5,Outside BBMP Zones
Built-up  Area,Ready To Move,sompura,3 BHK,Suiseit,1025,2,1,48,Outside BBMP Zones
Super built-up  Area,18-Aug,magadi road,2 BHK,Vrenty,884 - 1116,2,0,46.5,West Zone
Plot  Area,Ready To Move,harlur,4 Bedroom,,1200,4,,244,Bommanahalli Zone
Super built-up  Area,18-May,horamavu agara,3 BHK,,1453,2,1,46.48,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Adeatlm,3335,5,2,300,Bommanahalli Zone
Super built-up  Area,18-Mar,thanisandra,2 BHK,SLityee,850 - 1093,2,0,36.435,Yelahanka Zone
Super built-up  Area,Ready To Move,bellandur,2 BHK,,1281,2,1,74,Mahadevapura Zone
Built-up  Area,Ready To Move,cooke town,1 BHK,,565,1,1,35,East Zone
Built-up  Area,Ready To Move,varthur,2 BHK,DSingSt,1024,2,2,42,Mahadevapura Zone
Built-up  Area,Ready To Move,electronic city,3 BHK,Suashen,1620,3,2,62,Bommanahalli Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,SSthamh,1254,2,2,40,Mahadevapura Zone
Built-up  Area,Ready To Move,banashankari,3 BHK,Skave E,1300,2,2,75,South Zone
Built-up  Area,Ready To Move,doddakallasandra,2 BHK,,1233,2,2,43,South Zone
Plot  Area,Ready To Move,chokkanahalli,1 Bedroom,,1200,1,1,28,Yelahanka Zone
Super built-up  Area,18-Oct,hosur road,3 BHK,PuendWe,1510,2,1,105,Bommanahalli Zone
Super built-up  Area,Ready To Move,kaggalipura,2 BHK,Baowsig,950,2,1,65,Outside BBMP Zones
Super built-up  Area,Ready To Move,battarahalli,3 BHK,PaontWa,1945,3,2,97.42,Mahadevapura Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Shierhi,1008,2,3,45,South Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Bhmesy,1265,2,1,79,Yelahanka Zone
Super built-up  Area,19-Dec,hebbal,3 BHK,Magiaya,1255,2,1,77.68,Yelahanka Zone
Built-up  Area,18-Dec,kanakpura road,4 BHK,PrityFa,2689,6,2,220,South Zone
Built-up  Area,Ready To Move,yelenahalli,2 BHK,,1200,2,2,46.17,Bommanahalli Zone
Super built-up  Area,19-Dec,sarjapur road,3 BHK,Daivon,1403,3,3,51.63,Bommanahalli Zone
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,Srier P,1535,3,2,85,Bommanahalli Zone
Plot  Area,Ready To Move,chikkaballapur,3 Bedroom,,1500,3,3,100,Outside BBMP Zones
Super built-up  Area,Ready To Move,chamrajpet,3 BHK,SihtsHe,1475,2,2,120,West Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1390,2,2,60.47,South Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,,1278,2,1,53.76,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,vgp layout,2 BHK,AbnceEs,1133,2,2,55,Outside BBMP Zones
Plot  Area,Ready To Move,classic paradise layout,5 Bedroom,,1560,5,1,145,Bommanahalli Zone
Plot  Area,Ready To Move,byappanahalli,5 Bedroom,,2900,5,2,90,East Zone
Super built-up  Area,Ready To Move,kogilu,2 BHK,,1170,2,1,51.99,Yelahanka Zone
Plot  Area,Ready To Move,sahakara nagar,3 Bedroom,,1200,3,3,200,Yelahanka Zone
Super built-up  Area,18-Dec,whitefield,3 BHK,Prtates,1697,3,2,94.79,Mahadevapura Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,,1651,3,3,97.38,Yelahanka Zone
Super built-up  Area,Ready To Move,vasanth nagar,3 BHK,Siace P,1560,3,1,188,East Zone
Super built-up  Area,17-Apr,hennur road,3 BHK,Koagati,1192,2,1,60,Yelahanka Zone
Built-up  Area,Ready To Move,ombr layout,2 BHK,,1078,2,3,65,East Zone
Plot  Area,Ready To Move,kumaraswami layout,7 Bedroom,,800,7,3,105,South Zone
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,Salisal,1349,2,2,78,Mahadevapura Zone
Plot  Area,Ready To Move,ulsoor,9 Bedroom,,2300,8,1,210,East Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Eladero,1680,3,2,120,Unknown
Super built-up  Area,Ready To Move,rayasandra,3 BHK,,1314,2,2,63,Bommanahalli Zone
Super built-up  Area,Ready To Move,garudachar palya,2 BHK,,1060,2,1,48.7,Mahadevapura Zone
Built-up  Area,Ready To Move,kalyan nagar,2 BHK,SLnorMa,820,2,0,39,East Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,Skensk,5000,4,3,400,Mahadevapura Zone
Super built-up  Area,Ready To Move,beml layout,3 BHK,,2000,3,2,85,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,kalkere,2 BHK,Sothin,856,2,3,40,Mahadevapura Zone
Super built-up  Area,18-Feb,rajaji nagar,3 BHK,Puwerun,1621,4,0,130,West Zone
Plot  Area,18-Dec,itpl,3 Bedroom,,1200,3,1,68.4,Mahadevapura Zone
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,TGjraVa,1484,3,2,52.5,South Zone
Plot  Area,Ready To Move,t.c. palya,4 Bedroom,,600,5,2,60,Mahadevapura Zone
Plot  Area,Ready To Move,siddapura,4 Bedroom,Apavea,14000,3,2,800,South Zone
Super built-up  Area,Ready To Move,yelahanka new town,1 BHK,KHatsFl,500,1,1,20,Yelahanka Zone
Super built-up  Area,Ready To Move,makali,1 BHK,,485,1,1,15,Dasarahalli Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,,1050,2,1,42,Unknown
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1617,3,3,66.68,South Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,550,1,1,16,Bommanahalli Zone
Built-up  Area,Ready To Move,rwf west colony,3 BHK,PancyRe,1384,3,2,62.28,Yelahanka Zone
Super built-up  Area,18-Apr,devanahalli,2 BHK,,1408,2,2,85,Outside BBMP Zones
Built-up  Area,Ready To Move,uttarahalli,2 BHK,Sungsha,1150,2,1,49,South Zone
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,,1410,2,2,75,Bommanahalli Zone
Built-up  Area,Ready To Move,kaggadasapura,4 BHK,Adsia F,2150,4,1,100,Mahadevapura Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,,2292,4,1,275,East Zone
Built-up  Area,Ready To Move,malleshwaram,3 BHK,Maens G,2006,3,,297,West Zone
Built-up  Area,Ready To Move,maragondanahalli,3 BHK,ArnzaFi,1508,3,2,70.25,Mahadevapura Zone
Built-up  Area,Ready To Move,ramamurthy nagar,2 BHK,Foghaa,1040,2,2,50,Mahadevapura Zone
Plot  Area,Ready To Move,tc palaya,2 Bedroom,Lancy R,1240,2,1,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,Srier P,1535,3,1,78,Bommanahalli Zone
Built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,RothaVa,1180,2,2,75,West Zone
Built-up  Area,Ready To Move,abbigere,6 Bedroom,,2200,6,2,68,Dasarahalli Zone
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,SNity S,1400,2,2,78,South Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,1 BHK,,500,1,1,25,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,Pronege,4800,4,3,525,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Puallhi,1984,4,1,146,Bommanahalli Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,VDe 1Du,3000,5,3,250,Mahadevapura Zone
Super built-up  Area,Ready To Move,garudachar palya,3 BHK,BrlisMe,1960,3,3,160,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Shthi S,1035,2,1,45,Bommanahalli Zone
Built-up  Area,Ready To Move,vibuthipura,4 Bedroom,,2150,4,1,80,Mahadevapura Zone
Built-up  Area,Ready To Move,whitefield,3 BHK,Mithmn,1700,3,2,115,Mahadevapura Zone
Super built-up  Area,Ready To Move,hosakerehalli,4 BHK,Taonte,3024,5,1,248,Rajarajeshwari Nagar Zone
Super built-up  Area,21-Jan,tumkur road,3 BHK,Sapus S,1586,3,1,100,Dasarahalli Zone
Built-up  Area,18-May,hennur,3 Bedroom,Asoilul,2264,,,155,Yelahanka Zone
Plot  Area,Ready To Move,chikka tirupathi,4 Bedroom,Theanmp,2325,4,1,120,Outside BBMP Zones
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Rarthne,1120,2,2,55,Yelahanka Zone
Super built-up  Area,18-Jun,yelahanka,3 BHK,Shalkri,1440 - 1884,,,67.98,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,CharkGr,1128,2,2,59,Bommanahalli Zone
Plot  Area,Ready To Move,5th block hbr layout,6 Bedroom,,1200,6,2,250,Unknown
Super built-up  Area,Ready To Move,jigani,2 BHK,DLhtsan,924,2,2,65,Outside BBMP Zones
Super built-up  Area,Ready To Move,suraksha nagar,3 BHK,AritaFe,1600,3,2,52,Outside BBMP Zones
Super built-up  Area,Ready To Move,pai layout,2 BHK,,1006,2,2,35,Mahadevapura Zone
Super built-up  Area,Ready To Move,amruthahalli,2 BHK,Srncy R,1200,2,2,55,Yelahanka Zone
Super built-up  Area,20-Dec,jalahalli west,2 BHK,,1250,2,1,62,Dasarahalli Zone
Plot  Area,Ready To Move,defence layout,3 Bedroom,,1200,3,1,130,Unknown
Built-up  Area,Ready To Move,kannamangala,2 BHK,VBownre,957,2,1,56,Outside BBMP Zones
Super built-up  Area,Ready To Move,whitefield,2 BHK,SSthamh,1140,2,2,41,Mahadevapura Zone
Super built-up  Area,Ready To Move,roopena agrahara,2 BHK,RortsCo,1050,2,1,67,Bommanahalli Zone
Super built-up  Area,Ready To Move,kasturi nagar,3 BHK,,1565,3,2,88.5,East Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,GClmsun,1190,2,3,57,Mahadevapura Zone
Built-up  Area,18-Jan,whitefield,3 Bedroom,,2842,3,2,162,Mahadevapura Zone
Built-up  Area,Ready To Move,kanakpura road,3 BHK,SoapeSu,1558.67,2,2,65,South Zone
Super built-up  Area,Ready To Move,electronics city phase 1,1 BHK,,630,1,1,39,Unknown
Super built-up  Area,Ready To Move,whitefield,3 BHK,Iseenst,1403,2,2,60.81,Mahadevapura Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,SLourle,1542,2,3,85,South Zone
Built-up  Area,Ready To Move,haralur road,4 Bedroom,IDlleri,2750,4,0,220,Bommanahalli Zone
Super built-up  Area,Ready To Move,iblur village,4 BHK,Emine P,3596,5,1,290,Mahadevapura Zone
Super built-up  Area,Ready To Move,kengeri satellite town,3 BHK,,1635,2,,78,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,mysore road,2 BHK,,1239,2,1,53,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,,1194,2,2,47,Bommanahalli Zone
Super built-up  Area,Ready To Move,dooravani nagar,3 BHK,Puceswn,1596,3,1,105,East Zone
Super built-up  Area,17-Nov,channasandra,2 BHK,Unm 2El,1009,2,1,38.34,Mahadevapura Zone
Super built-up  Area,18-Jul,hosa road,3 BHK,Mahesr,1726,3,2,81.99,Bommanahalli Zone
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,Srier P,1535,3,2,86,Bommanahalli Zone
Super built-up  Area,Ready To Move,banashankari stage v,3 BHK,,1300,2,1,58.5,South Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,Adowslm,3100,4,2,465,Mahadevapura Zone
Super built-up  Area,Ready To Move,coconut garden,3 BHK,,1800,3,3,80,Unknown
Super built-up  Area,19-Dec,binny pete,1 BHK,Shestlo,665,1,0,50.75,West Zone
Plot  Area,Ready To Move,chamrajpet,9 Bedroom,,4050,7,1,1200,West Zone
Plot  Area,Ready To Move,tc palaya,3 Bedroom,,1500,2,1,100,Mahadevapura Zone
Built-up  Area,Ready To Move,kalkere,2 BHK,Sothin,925,2,2,48,Mahadevapura Zone
Super built-up  Area,18-Dec,old airport road,4 BHK,Jaades,3356,4,,251,East Zone
Super built-up  Area,Ready To Move,gollahalli,2 BHK,ArzzaRe,1395,2,1,63.59,Outside BBMP Zones
Super built-up  Area,Ready To Move,sonnenahalli,3 BHK,DSgam S,1415,2,1,55,Outside BBMP Zones
Super built-up  Area,Ready To Move,begur,3 BHK,Arera V,1419,2,2,59,Bommanahalli Zone
Super built-up  Area,18-Feb,kasavanhalli,2 BHK,Brersge,1121,2,2,78,Mahadevapura Zone
Super built-up  Area,Ready To Move,kambipura,3 BHK,,1082,2,1,45,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Jun,kr puram,2 BHK,MCnexva,1100,2,1,47,Mahadevapura Zone
Super built-up  Area,Ready To Move,hoodi,3 BHK,Keers S,1606,3,3,89.55,Mahadevapura Zone
Built-up  Area,Ready To Move,billekahalli,3 BHK,,1650,3,2,88,Bommanahalli Zone
Super built-up  Area,Ready To Move,d souza layout,3 BHK,Niateki,4634,4,3,1015,Unknown
Super built-up  Area,Ready To Move,old airport road,2 BHK,Vadel C,1206,2,3,75,East Zone
Built-up  Area,Ready To Move,sarjapur road,3 BHK,HIideSu,1495,2,0,64,Bommanahalli Zone
Plot  Area,Ready To Move,malleshwaram,8 Bedroom,,840,7,2,195,West Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,710,2,2,16,Bommanahalli Zone
Super built-up  Area,Ready To Move,balagere,2 BHK,,1210,2,1,72,Mahadevapura Zone
Super built-up  Area,Ready To Move,nagarbhavi,3 BHK,DSesthr,1523,2,2,53.4,West Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,Krine C,1232,2,2,45,Mahadevapura Zone
Super built-up  Area,20-Aug,rachenahalli,1 BHK,AsNowre,680,1,1,44,Yelahanka Zone
Super built-up  Area,19-Dec,hebbal,3 BHK,Magiaya,1355,3,1,83.87,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,MenueNo,1430,2,2,51.46,Yelahanka Zone
Super built-up  Area,18-Jun,kothannur,3 BHK,,1275,2,2,43.85,Yelahanka Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1070,2,1,56.1,Bommanahalli Zone
Plot  Area,Ready To Move,bettahalsoor,3 Bedroom,,1200,3,1,85,Outside BBMP Zones
Plot  Area,Ready To Move,electronic city,4 Bedroom,,2000,4,0,120,Bommanahalli Zone
Super built-up  Area,Ready To Move,bommanahalli,2 BHK,,1200,2,2,40,Bommanahalli Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,SatatHa,1610,3,1,90,Mahadevapura Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,RInceeg,1140,2,2,43,Bommanahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1143,2,2,38.65,Rajarajeshwari Nagar Zone
Super built-up  Area,22-May,jakkur,4 BHK,SoineC,3467.86,6,3,249,Yelahanka Zone
Super built-up  Area,Ready To Move,rachenahalli,3 BHK,Sovar S,1530,2,2,74.4,Yelahanka Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Brnia G,980,2,2,69,Unknown
Super built-up  Area,Ready To Move,whitefield,3 BHK,ChodsGr,1485,3,2,65,Mahadevapura Zone
Plot  Area,18-May,whitefield,3 Bedroom,WoarkEm,1500,3,1,130,Mahadevapura Zone
Super built-up  Area,18-Oct,whitefield,2 BHK,Umods W,1280,2,1,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,Bhmesy,1265,2,2,85,Yelahanka Zone
Built-up  Area,20-Dec,ecc road whitefield,2 BHK,,1132,2,1,67,Mahadevapura Zone
Super built-up  Area,Ready To Move,ashwath nagar,2 BHK,SJcerpe,1262,2,2,63,East Zone
Super built-up  Area,Ready To Move,jp nagar,2 BHK,Maentor,940,2,1,49,South Zone
Super built-up  Area,Ready To Move,seetharampalya,3 BHK,,1515,3,3,88,Mahadevapura Zone
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsan,1300,3,3,150,Outside BBMP Zones
Built-up  Area,Ready To Move,kothanur,3 Bedroom,,1840,3,1,69,Yelahanka Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,Itvir M,890,2,2,45,Bommanahalli Zone
Super built-up  Area,Ready To Move,rukmaiah layout,3 BHK,,1655,3,2,86.06,Unknown
Super built-up  Area,Ready To Move,hennur road,3 BHK,SaireSa,2060,3,1,149,Yelahanka Zone
Super built-up  Area,Ready To Move,bommanahalli,3 BHK,SNeur G,1730,3,1,96,Bommanahalli Zone
Built-up  Area,Ready To Move,yelahanka,3 BHK,Leilo E,2195,4,2,127,Yelahanka Zone
Super built-up  Area,18-Mar,kathriguppe,3 BHK,,1650,3,2,125,South Zone
Plot  Area,Ready To Move,kr puram,2 Bedroom,,1200,2,0,71,Mahadevapura Zone
Super built-up  Area,18-May,hosa road,2 BHK,,1079,2,1,32.37,Bommanahalli Zone
Super built-up  Area,19-Oct,panathur,2 BHK,Caiya D,1085,2,1,36,Mahadevapura Zone
Built-up  Area,Ready To Move,maruthi sevanagar,7 Bedroom,,5000,7,,299,East Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,,1075,2,1,51.5,Yelahanka Zone
Super built-up  Area,18-May,devanahalli int. airport,2 BHK,,1380,2,1,80,Outside BBMP Zones
Super built-up  Area,Ready To Move,puttanahalli,3 BHK,,1450,3,1,65,South Zone
Super built-up  Area,Ready To Move,thubarahalli,2 BHK,,1200,2,2,78,Mahadevapura Zone
Super built-up  Area,Ready To Move,benson town,3 BHK,,3200,4,,350,East Zone
Super built-up  Area,21-Jul,hoodi,3 BHK,GoAirej,1639,3,1,98.32,Mahadevapura Zone
Super built-up  Area,Ready To Move,jakkuru layout,2 BHK,,1200,2,1,54,Yelahanka Zone
Super built-up  Area,21-Jun,vijayanagar,3 BHK,Saityat,1739,3,1,116,West Zone
Built-up  Area,Ready To Move,palanahalli,4 Bedroom,RMaanSa,4346,5,,500,Yelahanka Zone
Super built-up  Area,20-Dec,old madras road,2 BHK,Shmes O,935,2,1,32.72,East Zone
Super built-up  Area,21-Nov,thanisandra,1 RK,Bhe 2ko,510,1,1,25.25,Yelahanka Zone
Plot  Area,Ready To Move,devasandra extension,6 Bedroom,,1200,6,3,180,Mahadevapura Zone
Super built-up  Area,Ready To Move,nagondanahalli,2 BHK,PrestSe,1178,2,3,47,Mahadevapura Zone
Built-up  Area,Ready To Move,chikkalasandra,3 BHK,Siourpl,1375,2,1,50,South Zone
Super built-up  Area,Ready To Move,chandapura,3 BHK,Halms S,1065,2,1,33,Outside BBMP Zones
Super built-up  Area,Ready To Move,2nd phase judicial layout,3 BHK,,1450,2,1,50.75,Unknown
Built-up  Area,Ready To Move,beml layout,2 BHK,,999,2,3,45,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,amruthahalli,2 BHK,,4400,3,2,475,Yelahanka Zone
Plot  Area,Ready To Move,marathahalli,5 Bedroom,,1350,4,1,135,Mahadevapura Zone
Built-up  Area,Ready To Move,kothannur,2 BHK,,1100,2,2,40,Yelahanka Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,Wiass G,1835,2,3,155,East Zone
Super built-up  Area,20-Dec,hoodi,4 BHK,Caycend,2090,4,0,95.1,Mahadevapura Zone
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1519,3,1,93,Bommanahalli Zone
Built-up  Area,Ready To Move,dommasandra,3 BHK,Asene S,1267,3,2,56,Outside BBMP Zones
Super built-up  Area,Ready To Move,sanjay nagar,2 BHK,Camesa,1150,2,3,72.2,Yelahanka Zone
Super built-up  Area,19-Dec,marathahalli,2 BHK,PrensKe,1146,2,1,70,Mahadevapura Zone
Plot  Area,18-Feb,1st block hrbr layout,8 Bedroom,,1200,7,0,235,Unknown
Built-up  Area,Ready To Move,kannamangala,3 BHK,Marnaer,1550,3,3,65,Outside BBMP Zones
Built-up  Area,Ready To Move,chandapura,2 BHK,KHityry,850,1,1,18.5,Outside BBMP Zones
Super built-up  Area,Ready To Move,richmond town,3 BHK,Kaestid,2200,3,,187,East Zone
Built-up  Area,Ready To Move,sarjapur road,3 Bedroom,,3329,3,2,330,Bommanahalli Zone
Carpet  Area,Ready To Move,electronics city phase 1,1 BHK,,785,1,1,55,Unknown
Super built-up  Area,Ready To Move,hebbal kempapura,3 BHK,GonumPl,2900,4,,300,Yelahanka Zone
Built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,Avlya A,1610,3,2,74,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,bellandur,2 BHK,Krine O,921,2,2,40,Mahadevapura Zone
Plot  Area,Ready To Move,kengeri satellite town,3 Bedroom,,850,3,2,95,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,bannerghatta road,5 Bedroom,,2700,5,0,158,South Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,SocusHi,1700,3,3,110,Bommanahalli Zone
Built-up  Area,Ready To Move,sarjapur,2 BHK,Sondaka,1020,2,2,35,Outside BBMP Zones
Super built-up  Area,Ready To Move,billekahalli,2 BHK,Dintsmi,1090,2,3,52,Bommanahalli Zone
Plot  Area,Ready To Move,bagalur main road,4 Bedroom,,3600,4,,300,Yelahanka Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,,1027,2,2,44,Bommanahalli Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,MenueNo,1185,2,2,42.1,Yelahanka Zone
